MaterialTicker,ExchangeCode,CompanyId,CompanyName,CompanyCode,ItemCount,ItemCost
AL,IC1,5edd1a6cb3d2e2b9f2f4f12f4238a026,Sierra Construction,SIEC,210,559.97998046875
AL,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,185,580
AL,IC1,a4be87158e5bfd8ee16b0a3b62648ddc,Wergild,WGLD,100,559
AL,IC1,e46b859b630c7a960101773877e2cddd,Mantissa Manufacturing,MTSS,84,645
AL,IC1,cb9fd32f4442bc5a9723ba961cdbc582,LNG Inc,LNG,54,550
AL,IC1,bd62895ea3708fcaf109b8806440da9d,CFace,CFA,30,538
AL,IC1,63e665ec835fe663c2dd845c1046deb0,ZymKultureII,ZKII,5,549.9500122070312
AL,IC1,e46b859b630c7a960101773877e2cddd,Mantissa Manufacturing,MTSS,48,599
AL,IC1,a4be87158e5bfd8ee16b0a3b62648ddc,Wergild,WGLD,100,559
AL,IC1,5edd1a6cb3d2e2b9f2f4f12f4238a026,Sierra Construction,SIEC,154,599
AL,IC1,c3e8b25a605887a742a26f7e0d0161f3," Swift Mining Group",SMG,135,590
AL,IC1,e46b859b630c7a960101773877e2cddd,Mantissa Manufacturing,MTSS,61,589
AL,IC1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,1,600
AL,IC1,ef065401c4c0439cb3bb5a0c0f977182,Dark Galaxy Supplies Inc,DGSI,43,700
AL,IC1,d29c6c3d12c44b9e30daebe25c71307a,NIRCo 2,NIRC,204,550
AL,IC1,88277ae8c4aca523ba6f8b9727bb82d2,Ekamco,EKA,100,540
AL,IC1,cb9fd32f4442bc5a9723ba961cdbc582,LNG Inc,LNG,53,550
AL,IC1,b684016c66d650417a7a81a980283602,Harvesters Combine,HARC,10,554.989990234375
AL,IC1,ef065401c4c0439cb3bb5a0c0f977182,Dark Galaxy Supplies Inc,DGSI,100,700
AL,IC1,527c2f28c113666bca42ed55ae276131,Invictus Galactic Holdings,IG,25,565
AL,IC1,59f1bae478fd39aa657553156f2b2175,Potchama,N393,10,500
AL,IC1,6794710494d0bdfc763591d7ea716c9c,Brawling Beggar's Bakery,BBB,157,537
AL,NC1,9c1800e33b461121dc6fbaf12e90cde8,Cameron Corp,CNCP,416,609
AL,NC1,1270a4b51b80ac7cc09acb4c0a0205e7,Industrial Worker Cooperative,IWC,139,600
AL,NC1,e9a5c417878286e3b2cb491943bea210,D-Mis Makers,DMIS,149,629
AL,NC1,be26792984776187e9579fec45a88eab,Adler Metal Company,AMC,107,599
AL,NC1,01fd84b6d5655a0184a19c2292bc7116,MinCorp,MICP,76,598.9000244140625
AL,NC1,b81aca06274fad43bd14cd8a1165f94f,MankMetals,MANK,35,635
AL,NC1,9c1800e33b461121dc6fbaf12e90cde8,Cameron Corp,CNCP,62,604
AL,NC1,9c1800e33b461121dc6fbaf12e90cde8,Cameron Corp,CNCP,240,604
AL,NC1,61d61bf1ba6212cba48fc489bcc63605,Bizkaiko Labe Garaiak,BLG,23,628.989990234375
