Ticker,MMBuy,MMSell,AI1-Average,AI1-AskAmt,AI1-AskPrice,AI1-AskAvail,AI1-BidAmt,AI1-BidPrice,AI1-BidAvail,CI1-Average,CI1-AskAmt,CI1-AskPrice,CI1-AskAvail,CI1-BidAmt,CI1-BidPrice,CI1-BidAvail,CI2-Average,CI2-AskAmt,CI2-AskPrice,CI2-AskAvail,CI2-BidAmt,CI2-BidPrice,CI2-BidAvail,NC1-Average,NC1-AskAmt,NC1-AskPrice,NC1-AskAvail,NC1-BidAmt,NC1-BidPrice,NC1-BidAvail,NC2-Average,NC2-AskAmt,NC2-AskPrice,NC2-AskAvail,NC2-BidAmt,NC2-BidPrice,NC2-BidAvail,IC1-Average,IC1-AskAmt,IC1-AskPrice,IC1-AskAvail,IC1-BidAmt,IC1-BidPrice,IC1-BidAvail
GC,,,147.22000122070312,10,170,444,,,0,210.97999572753906,36,200,227,72,126.38999938964844,102,153.66000366210938,,,0,,,0,198,98,198,670,50,101,56,153.66000366210938,,,0,,,0,175,50,199.99000549316406,70,,,0
GCH,,,19048.66015625,,,0,,,0,9000,,,0,,,0,19048.66015625,,,0,,,0,565,,,0,,,0,19048.66015625,,,0,,,0,7500,,,0,,,0
GEN,,,140000,1,170000,1,,,0,140000,1,140000,1,1,130000,1,239354.234375,,,0,,,0,140000,,,0,6,130000,6,239354.234375,,,0,,,0,140000,,,0,,,0
GIN,,,2859.06005859375,45,2950,213,,,0,3136.199951171875,4,2750,61,,,0,2500,,,0,,,0,3232.679931640625,10,5000,10,1,2600.010009765625,572,2000,20,2000,40,,,0,3160.75,4,3699.89990234375,94,300,3000,326
GL,,,219.91000366210938,60,220,1532,10,219,160,208.49000549316406,22,218.08999633789062,1419,61,205,792,248.6999969482422,,,0,,,0,222.4600067138672,84,240,1592,60,210.00999450683594,625,248.6999969482422,26,320,26,,,0,203.75,11,230,1817,49,150,519
GNZ,,,40847.19140625,6,28000,6,,,0,40847.19140625,,,0,,,0,40847.19140625,,,0,,,0,13000,,,0,,,0,40847.19140625,,,0,,,0,40847.19140625,,,0,,,0
GRA,,,3000,,,0,,,0,2200,,,0,,,0,1401.739990234375,,,0,,,0,3000,10,2800,10,,,0,1401.739990234375,,,0,,,0,2960.419921875,,,0,100,2501,113
GRN,86,,161.7899932861328,38,160,1965,31,144,1923,109.13999938964844,91,114,613,15,91.01000213623047,962,120,32,120,32,,,0,152,12,150,1478,24,132.00999450683594,4097,110,258,110,646,,,0,103.41000366210938,48,109,2315,70,93,1858
GV,,,1200,2,1100,20,2,500,2,2000,,,0,,,0,1032.550048828125,,,0,,,0,1000,44,1000,78,,,0,1032.550048828125,,,0,,,0,1200,1,1200,9,,,0
H,50,,89.4000015258789,2416,85,21761,52,70,6532,92.91999816894531,323,95,7212,80,93,3048,90,,,0,,,0,100.98999786376953,1000,100,13012,300,75.19999694824219,5306,80,800,80,800,1090,70,1090,141.8800048828125,500,125,104979,200,81.13999938964844,22226
H2O,,,34.849998474121094,806,35,70358,107,29.25,117831,35.189998626708984,200,87.97000122070312,200,200,33,41904,10.010000228881836,33,10.010000228881836,33,,,0,29.579999923706055,422,31,25513,8,28.5,60773,38,350,38,1517,10000,21,10000,28.559999465942383,1300,28,10857,935,24.989999771118164,47226
HAB,,,60000,,,0,6,60000,6,38000,,,0,,,0,53978.7890625,,,0,,,0,40000,,,0,,,0,53978.7890625,,,0,,,0,45000,1,90000,1,,,0
